school	sex	age	address	famsize	Pstatus	Medu	Fedu	Mjob	Fjob	reason	guardian	traveltime	studytime	failures	schoolsup	famsup	paid	activities	nursery	higher	internet	romantic	famrel	freetime	goout	Dalc	Walc	health	absences	G1	G2	G3
MS	M	18	U	GT3	T	4	4	teacher	teacher	home	father	1	2	0	no	no	yes	yes	no	yes	yes	no	3	2	4	1	4	2	4	15	14	14
MS	M	18	R	GT3	T	2	1	other	other	other	mother	2	1	0	no	no	no	yes	no	yes	yes	yes	4	4	3	1	3	5	5	7	6	7
MS	M	17	U	GT3	T	2	3	other	services	home	father	2	2	0	no	no	no	yes	yes	yes	yes	no	4	4	3	1	1	3	2	11	11	10
MS	M	18	R	GT3	T	4	2	other	other	home	father	2	1	1	no	no	yes	no	yes	yes	no	no	5	4	3	4	3	3	14	6	5	5
MS	F	18	R	GT3	T	2	2	at_home	other	other	mother	2	3	0	no	no	yes	no	yes	yes	no	no	5	3	3	1	3	4	2	10	9	10
MS	F	18	R	GT3	T	4	4	teacher	at_home	reputation	mother	3	1	0	no	yes	yes	yes	yes	yes	yes	yes	4	4	3	2	2	5	7	6	5	6
MS	F	18	U	LE3	T	3	1	teacher	services	course	mother	1	2	0	no	yes	yes	no	yes	yes	yes	no	4	3	4	1	1	1	0	7	9	8
MS	M	20	U	LE3	A	2	2	services	services	course	other	1	2	2	no	yes	yes	no	yes	yes	no	no	5	5	4	4	5	4	11	9	9	9
MS	M	17	U	LE3	T	3	1	services	services	course	mother	2	1	0	no	no	no	no	no	yes	yes	no	2	4	5	3	4	2	3	14	16	16
MS	M	21	R	GT3	T	1	1	other	other	course	other	1	1	3	no	no	no	no	no	yes	no	no	5	5	3	3	3	3	3	10	8	7
MS	M	18	R	LE3	T	3	2	services	other	course	mother	3	1	0	no	no	no	no	no	yes	yes	no	4	4	1	3	4	5	0	11	12	10
MS	M	19	U	LE3	T	1	1	other	at_home	course	father	1	1	0	no	no	no	no	yes	yes	yes	no	3	2	3	3	3	5	5	8	9	9
MS	F	18	U	LE3	T	3	1	teacher	services	course	mother	1	2	0	no	yes	no	no	yes	yes	yes	no	4	3	4	1	1	1	4	15	15	16
MS	F	18	U	GT3	T	1	1	other	other	course	mother	2	2	0	no	no	no	yes	yes	yes	no	no	1	1	1	1	1	5	6	11	12	9
MS	M	17	U	LE3	T	3	1	services	services	course	mother	2	1	0	no	no	no	no	no	yes	yes	no	2	4	5	3	4	2	6	10	10	10
MS	M	18	R	LE3	T	3	2	services	other	course	mother	3	1	0	no	no	no	no	no	yes	yes	no	4	4	1	3	4	5	4	10	11	11
MS	F	15	U	GT3	T	2	1	at_home	other	home	mother	1	2	0	yes	yes	no	no	no	yes	yes	no	4	4	2	3	3	2	0	9	10	9
MS	F	16	U	GT3	T	1	1	at_home	other	course	father	1	2	0	no	yes	no	no	no	yes	no	yes	5	4	3	2	1	2	0	13	14	15
MS	M	17	R	LE3	T	1	2	at_home	services	reputation	mother	1	1	0	no	yes	no	yes	yes	yes	yes	no	5	5	5	5	5	3	4	10	11	11
MS	F	16	R	GT3	T	1	1	other	other	home	father	4	4	0	no	yes	no	no	no	yes	yes	no	4	3	2	1	1	1	0	13	10	13
MS	F	16	R	GT3	T	1	1	at_home	other	other	father	4	3	0	yes	yes	no	no	yes	yes	no	no	4	4	3	1	1	5	2	10	9	10
MS	F	15	R	GT3	T	1	1	at_home	other	home	father	2	2	0	no	yes	no	yes	yes	yes	yes	no	4	3	3	1	1	2	1	11	10	11
MS	F	16	R	GT3	T	1	1	at_home	other	other	mother	2	1	0	no	no	no	yes	yes	yes	yes	yes	4	2	2	4	3	2	0	13	12	14
MS	F	15	R	GT3	T	1	1	at_home	at_home	course	father	3	2	0	no	yes	no	no	yes	yes	no	no	4	2	1	1	2	2	0	13	14	14
MS	F	15	R	LE3	T	2	2	other	other	other	father	1	3	0	yes	yes	no	no	yes	yes	no	no	4	4	3	2	2	5	2	14	11	12
